"sampleId","Gx","Gy","Gz","W1x","W1y","W1z","res2","res3","res4","maxResidual","centerConeResidual","circlingConeResidual"
"1","0","0.019369595716489359588","0.9998123917824682358","0.61900604324909971457","-0.75685218470548024595","-0.20977675974148162857","0.e-51","0.e-51","0.e-50","0.e-50","0.e-53","0.e-51"
"2","0.001420995341026784269","0.017762441762834803363","0.9998412256127783223","0.61890421765072500424","-0.75624348298651739324","-0.21225777680585696294","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"3","0.0017043035782436039953","-0.021303794728045049941","-0.99977159575549980014","0.619118945593334863","-0.75757561246888957871","-0.20681132125631832178","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"4","0.0026247773580445331561","0.016404858487778332226","0.99986198605698409859","0.61881244089402145184","-0.75572384008152826159","-0.21436567012283451285","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"5","0.0036581506088598690998","0.015242294203582787916","0.99987713765318903041","0.61872959231430500192","-0.75527480802023765444","-0.21617968443997479282","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"6","0.0037886770411391381343","-0.023679231507119613339","-0.99971242861210352114","0.61924347971746460877","-0.75845069194726138897","-0.20319955883841481843","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"7","0.0045552499703250910942","0.014235156157265909669","0.9998882987748612051","0.6186546067926927212","-0.75488275950340603548","-0.21775788596214283134","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"8","0.0053415895830649553008","0.013353973957662388252","0.99989656405063427275","0.61858652633059048816","-0.75453739492358246999","-0.21914385481730356689","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"9","0.0060366419182418764744","0.012576337329670575988","0.99990269261249679835","0.61852451086398337788","-0.75423077650189690207","-0.22037097185840006239","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"10","0.0061979917113437722557","0.012395983422687544511","0.99990395763479732788","0.6185098670427197925","-0.75415941617161495458","-0.22065611111067366214","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"11","0.0063612368952208394522","0.012213574838824011748","0.99990517713172148879","0.6184949560944713566","-0.75408714763951516606","-0.22094470586687069434","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"12","0.0064013476610722630967","-0.026672281921134429569","-0.99962373527504918391","0.61937876953686506558","-0.75953282196892401681","-0.19869532505552758036","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"13","0.0065333374662148159363","0.012021340937835261323","0.99990639705104841369","0.61847913260378328911","-0.75401088255716680548","-0.22124907122750651981","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"14","0.006655537562653158048","0.011884888504737782229","0.9999072223186419532","0.61846783245895423209","-0.75395668289950675768","-0.2214652580534823576","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"15","0.0067150361248723256754","0.011818463579775293189","0.99990761183644120943","0.61846231102726890302","-0.75393027905737609625","-0.22157053991737418685","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"16","0.0069071612615674190106","0.011604030919433263938","0.99990881463747860051","0.61844439487675455257","-0.75384495502686702063","-0.22191059962531245979","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"17","0.007110639720098058113","0.011377023552156892981","0.9999099970186639909","0.61842527492364464493","-0.75375448198715996409","-0.22227091627084881197","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"18","0.0072102185037396658542","0.011265966412093227897","0.99991054137354203481","0.61841586351302691451","-0.75371016592391823649","-0.22244730957774451757","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"19","0.007326511920082457048","0.011136298118525334713","0.99991114859636414535","0.61840482703992218687","-0.75365837782070858251","-0.22265336160584236424","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"20","0.0075559498646005492352","0.010880567805024790899","0.99991225658348837991","0.61838290958744614799","-0.75355609807904690123","-0.22306004612670161017","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"21","0.0077102404789309757788","0.010708667331848577471","0.99991293452766819047","0.61836806362048700647","-0.75348723871421164496","-0.2233336494778204489","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"22","0.0078002786986945443849","0.010608379030224580363","0.99991330521529404416","0.61835936024188659384","-0.75344702553859448855","-0.22349335853284156543","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"23","0.0080610026664638266551","0.010318083413073698118","0.99991427502096004255","0.61833399210388038645","-0.75333045757623535158","-0.22395601330810087689","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"24","0.0081633435220748148583","0.010204179402593518573","0.99991461362721381388","0.6183239670608092624","-0.75328465180073658928","-0.22413769232243446172","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"25","0.008339836554871206671","0.010007803865845448005","0.99991514189356128725","0.61830658890455967966","-0.7532055908126553848","-0.2244511084529692828","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"26","0.008575865574017585628","0.0097453017886563473045","0.99991573826133189403","0.61828317163736467839","-0.75309972929686523231","-0.22487044581943034122","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"27","0.0086387440325737602868","0.0096753933164826115212","0.99991587589442294786","0.61827689905085314496","-0.75307150230511471255","-0.22498219599776946716","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"28","0.0089530475060789189517","0.0093260911521655405747","0.9999164299901144207","0.61824532903781711879","-0.75293024710419062554","-0.22554102978957883849","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"29","0.0089599847228008087193","0.0093183841117128410681","0.99991643970449538449","0.61824462817112037008","-0.75292712634624030116","-0.22555336873907649765","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
"30","0.0092992615407400797103","0.0089415976353269997214","0.9999167823206713371","0.61821013664828208438","-0.75277434102096874288","-0.22615706587625921062","0.e-49","0.e-49","0.e-49","0.e-49","0.e-52","0.e-50"
